codigo_cliente,age,lista_de_pedidos,numero_pedidos
4cf0d3732731a06530bfc8c66b458f74,63,"[[dc555989f93097d2c7b5391a73dd3f4a, 2017-11-24], [1c3aa3c890a5e556953c26e0116027a7, 2017-11-24], [5a50cac9ec12cb732500defe81b0c790, 2017-11-24]]",3
2ec3d05903cd1f4a5dc182933aaaf0d4,52,"[[95dea8517842bfb42388eb2e05c17f6d, 2018-11-23], [0f123ecb00eda69e9a350fd476d31e2c, 2018-11-23], [0316682ee3287fd0ba76b9acf6f17d3a, 2018-11-23]]",3
f7e083ca4e4bd92369998d88eb771e17,62,"[[a4185b0619863677cce2047b2471b0c1, 2017-11-24], [a4185b0619863677cce2047b2471b0c1, 2017-11-24], [cf90fff5b9a8838e21fd03157475ec98, 2017-11-24]]",3
6b043afbc17faf4768a9e3b335bee942,51,"[[2b3974d2e808db63eaf682c009ead827, 2017-11-24], [e546aca1f17f254d05e702eca0032424, 2017-11-24], [c3c349c8e2dc7c5fad2c4db2e5347af4, 2018-11-23]]",3
4e03bc01c1a62cd2a515965191ca4eb4,75,"[[f543c1c59022a5ea60c65567152dc2cf, 2017-11-24], [04becd802b56050617982e0635741e4b, 2017-11-24], [18b321e6dba963fa191c7004ba3f622c, 2017-11-24]]",3
32b5a843ccf12e82b2959a3b9a1a57ec,52,"[[8587f9f6a21c1deffab11e3b0211f86e, 2018-11-23], [da91973463287d8a1b099fcbe6fdbbac, 2018-11-23], [4b1b05b650f73beb011839175b106182, 2018-11-23]]",3
c512a4d48ee9388e135e300fb44c94ea,48,"[[2cbfbcce237fc7f1c9ba9589ac6ff8e3, 2017-11-24], [c648cc3dd70b115e9b30275ac3174b0b, 2017-11-24], [7a87cf58ff0f27d12771181efc7a2b0d, 2017-11-24]]",3
425f3cc0ed5e8b391e3192ffdf3d63f5,41,"[[868a55f838273a408ff57c8a01f5b1fc, 2018-11-23], [1227644711699ad441e283fd95f71b5f, 2018-11-23], [05ce7741c9c406fe0c68a70f6f691d29, 2018-11-23]]",3
70f58ae08fd436a611955e980c1ba4dd,43,"[[8148fd7fd8d29eee8486d962b5c84ff2, 2018-11-23], [b6d1dfabf1cf4ea15ffb9fed54fd073b, 2018-11-23], [2a19a8a00a3c93e9b4a87e8ce5d210c3, 2018-11-23]]",3
f6b7b07ea00baf0c68ea6eb23138c8a2,46,"[[814dd2102c342e492c18b2bdd22ec38b, 2017-11-24], [a2b4370582761f167fc898aed30edcda, 2018-11-23], [4da2ca804359744265daa142a07b7dfd, 2018-11-23]]",3
917705f60ca225150aaae2fb223ed977,54,"[[6a7132f246d04efb9d23760820289d3e, 2018-11-23], [037b1546a4623175b8c4cb27b3b04827, 2018-11-23], [d6406b5527850679abeb6ee3992759c7, 2018-11-23], [da1893c95054b34fb0d277eb0de5fec5, 2018-11-23]]",4
2f23c577edb6fc8880866d85bcd9ad92,62,"[[967e83d2405711963b9633d1a7343670, 2018-11-23], [f87dd4beabb107f9cf4c2414d22d0e33, 2018-11-23], [fdf6cbf472be2227ea08b0a34c5afbde, 2018-11-23]]",3
ecc664873bb58e8b9a58fac33607cc64,48,"[[83c843d344045e2e82c4117cb52ff9e5, 2018-11-23], [c157ef18d7ddcf6dc1145dd04b825518, 2018-11-23], [25785af1eaf6295fa133f6aa4d2025c6, 2018-11-23]]",3
85c176274b2205de38917d8b65c4e3a4,67,"[[711a883d1502343e2ce7920919f21b90, 2018-11-23], [0cc191ac3a15b755d2f43884abb04ca0, 2018-11-23], [2e6767f11795898cd2cc8f373e2856d5, 2018-11-23]]",3
96411bf752617b05c322a6f61facabc2,52,"[[79ae985fd83672812e0a1ab61ad4ee1d, 2017-11-24], [53d50daa650c3c4355c796d1d81643f2, 2017-11-24], [410975f7b668b49d4c3c5f16b4d907f8, 2017-11-24]]",3
9b684a48517907bba5cf6350f3e41f0e,55,"[[8af6bb866fc3ddaf5117569848c08739, 2017-11-24], [43c766c3431b7a7cc961d1ce02a2bc42, 2017-11-24], [504db45a06c28b0965c531f738021901, 2017-11-24]]",3
28688f66084a7f1dedf83f5049e6ef37,47,"[[5cd365e30005cb43e2a3313dee029fbb, 2017-11-24], [322223e7c7da4985f9bb7f8d643b9f64, 2017-11-24], [76b5985b5ac08573dbd71825e61424cf, 2017-11-24]]",3
